"time";"r ngspice/tran.i(vi2)";"i ngspice/tran.i(vi2)"
0;7.86925e-13;0
1e-11;-4.07863e-06;0
2e-11;-3.95048e-06;0
4e-11;-3.71443e-06;0
8e-11;-3.54533e-06;0
1.6e-10;-3.19399e-06;0
2.83795e-10;-2.6286e-06;0
4.52159e-10;6.35361e-06;0
6.21144e-10;4.18439e-05;0
6.37173e-10;3.56315e-05;0
6.69231e-10;4.04124e-05;0
7.11123e-10;4.22243e-05;0
7.56686e-10;4.04772e-05;0
8.02153e-10;3.89123e-05;0
8.46792e-10;3.72055e-05;0
8.91383e-10;3.49669e-05;0
9.38192e-10;3.33381e-05;0
9.95448e-10;3.21677e-05;0
1.05415e-09;3.2142e-05;0
1.11503e-09;3.16169e-05;0
1.18457e-09;3.06996e-05;0
1.32365e-09;2.88464e-05;0
1.55178e-09;2.66589e-05;0
1.84536e-09;2.48633e-05;0
2.27108e-09;2.34002e-05;0
3.12251e-09;2.22255e-05;0
4.65912e-09;2.18676e-05;0
6.45079e-09;2.18907e-05;0
9.36927e-09;2.18869e-05;0
1.46865e-08;2.18885e-05;0
2.5321e-08;2.18875e-05;0
4.659e-08;2.18883e-05;0
8.91279e-08;2.18876e-05;0
1.74204e-07;2.18883e-05;0
3.44356e-07;2.18876e-05;0
6.84659e-07;2.18883e-05;0
1.36527e-06;2.18876e-05;0
2.72648e-06;2.18883e-05;0
5.44891e-06;2.18876e-05;0
1.08938e-05;2.18883e-05;0
2.17835e-05;2.18876e-05;0
4.35629e-05;2.18883e-05;0
8.71218e-05;2.18876e-05;0
0.00017424;2.18883e-05;0
0.000348475;2.18876e-05;0
0.000696946;2.18883e-05;0
0.00139389;2.18876e-05;0
0.00278777;2.18883e-05;0
0.00557554;2.18876e-05;0
0.0111511;2.18883e-05;0
0.0223021;2.18876e-05;0
0.0446043;2.18883e-05;0
0.0892086;2.18876e-05;0
0.178417;2.18883e-05;0
0.338417;2.18876e-05;0
0.498417;2.18883e-05;0
0.658417;2.18876e-05;0
0.818417;2.18883e-05;0
0.978417;2.18876e-05;0
1.13842;-6.41729e-08;0
1.29842;6.41111e-08;0
1.45842;-6.41729e-08;0
1.61842;6.41109e-08;0
1.77842;-6.41729e-08;0
1.93842;6.41109e-08;0
2.09842;2.18883e-05;0
2.25842;2.18876e-05;0
2.41842;2.18883e-05;0
2.57842;2.18876e-05;0
2.73842;2.18883e-05;0
2.89842;2.18876e-05;0
3.05842;-6.45442e-08;0
3.21842;6.44814e-08;0
3.37842;-6.45442e-08;0
3.53842;6.44812e-08;0
3.69842;-6.45442e-08;0
3.85842;6.44812e-08;0
4.01842;2.18883e-05;0
4.17842;2.18876e-05;0
4.33842;2.18883e-05;0
4.49842;2.18876e-05;0
4.65842;2.18883e-05;0
4.81842;2.18876e-05;0
4.97842;2.18883e-05;0
5.13842;6.48002e-08;0
5.29842;-6.48638e-08;0
5.45842;6.47999e-08;0
5.61842;-6.48638e-08;0
5.77842;6.47999e-08;0
5.93842;-6.48638e-08;0
6.09842;2.18876e-05;0
6.25842;2.18883e-05;0
6.41842;2.18876e-05;0
6.57842;2.18883e-05;0
6.73842;2.18876e-05;0
6.89842;2.18883e-05;0
7.05842;6.50769e-08;0
7.21842;-6.51414e-08;0
7.37842;6.50767e-08;0
7.53842;-6.51413e-08;0
7.69842;6.50767e-08;0
7.85842;-6.51413e-08;0
8.01842;2.18876e-05;0
8.17842;2.18883e-05;0
8.33842;2.18876e-05;0
8.49842;2.18883e-05;0
8.65842;2.18876e-05;0
8.81842;2.18883e-05;0
8.97842;2.18876e-05;0
9.13842;-6.5385e-08;0
9.29842;6.53191e-08;0
9.45842;-6.5385e-08;0
9.61842;6.5319e-08;0
9.77842;-6.5385e-08;0
9.93842;6.5319e-08;0
10.0984;2.18883e-05;0
10.2584;2.18876e-05;0
10.4184;2.18883e-05;0
10.5784;2.18876e-05;0
10.7384;2.18883e-05;0
10.8984;2.18876e-05;0
11.0584;-6.56e-08;0
11.2184;6.55338e-08;0
11.3784;-6.56003e-08;0
11.5384;6.55337e-08;0
11.6984;-6.56003e-08;0
11.8584;6.55337e-08;0
12.0184;2.18883e-05;0
12.1784;2.18876e-05;0
12.3384;2.18883e-05;0
12.4984;2.18876e-05;0
12.6584;2.18883e-05;0
12.8184;2.18876e-05;0
12.9784;2.18883e-05;0
13.1384;6.573e-08;0
13.2984;-6.57658e-08;0
13.4584;6.57252e-08;0
13.6184;-6.57922e-08;0
13.7784;6.57252e-08;0
13.9384;-6.57922e-08;0
14.0984;2.18876e-05;0
14.2584;2.18883e-05;0
14.4184;2.18876e-05;0
14.5784;2.18883e-05;0
14.7384;2.18876e-05;0
14.8984;2.18883e-05;0
15.0584;6.59019e-08;0
15.2184;-6.59641e-08;0
15.3784;6.58966e-08;0
15.5384;-6.59641e-08;0
15.6984;6.58966e-08;0
15.8584;-6.59641e-08;0
16;6.58966e-08;0
