"time";"r ngspice/tran.i(vi4)";"i ngspice/tran.i(vi4)"
0;2.39525e-12;0
1e-11;-1.13e-05;0
2e-11;-1.14018e-05;0
4e-11;-1.11116e-05;0
8e-11;-1.05266e-05;0
1.6e-10;-9.39463e-06;0
2.83795e-10;-7.46793e-06;0
4.52159e-10;1.77182e-05;0
6.21144e-10;0.000136653;0
6.37173e-10;0.000175394;0
6.69231e-10;0.000183227;0
7.11123e-10;0.00014732;0
7.56686e-10;0.000183486;0
8.02153e-10;0.000134072;0
8.46792e-10;0.000170399;0
8.91383e-10;0.00011829;0
9.38192e-10;0.000154929;0
9.95448e-10;0.000107094;0
1.05415e-09;0.000150145;0
1.11503e-09;0.00010489;0
1.18457e-09;0.000144375;0
1.32365e-09;9.38085e-05;0
1.55178e-09;0.000128213;0
1.84536e-09;7.78759e-05;0
2.27108e-09;0.000115178;0
3.12251e-09;6.73246e-05;0
4.65912e-09;0.000109047;0
6.45079e-09;6.59855e-05;0
9.36927e-09;0.000109125;0
1.46865e-08;6.59768e-05;0
2.5321e-08;0.000109127;0
4.659e-08;6.59761e-05;0
8.91279e-08;0.000109127;0
1.74204e-07;6.59759e-05;0
3.44356e-07;0.000109127;0
6.84659e-07;6.59759e-05;0
1.36527e-06;0.000109127;0
2.72648e-06;6.59759e-05;0
5.44891e-06;0.000109127;0
1.08938e-05;6.59759e-05;0
2.17835e-05;0.000109127;0
4.35629e-05;6.59759e-05;0
8.71218e-05;0.000109127;0
0.00017424;6.59759e-05;0
0.000348475;0.000109127;0
0.000696946;6.59759e-05;0
0.00139389;0.000109127;0
0.00278777;6.59759e-05;0
0.00557554;0.000109127;0
0.0111511;6.59759e-05;0
0.0223021;0.000109127;0
0.0446043;6.59759e-05;0
0.0892086;0.000109127;0
0.178417;6.59759e-05;0
0.338417;0.000109127;0
0.498417;6.59759e-05;0
0.658417;0.000109127;0
0.818417;6.59759e-05;0
0.978417;0.000109127;0
1.13842;6.59759e-05;0
1.29842;0.000109127;0
1.45842;6.59759e-05;0
1.61842;0.000109127;0
1.77842;6.59759e-05;0
1.93842;0.000109127;0
2.09842;6.59759e-05;0
2.25842;0.000109127;0
2.41842;6.59759e-05;0
2.57842;0.000109127;0
2.73842;6.59759e-05;0
2.89842;0.000109127;0
3.05842;6.59759e-05;0
3.21842;0.000109127;0
3.37842;6.59759e-05;0
3.53842;0.000109127;0
3.69842;6.59759e-05;0
3.85842;0.000109127;0
4.01842;-2.17428e-05;0
4.17842;2.17577e-05;0
4.33842;-2.17578e-05;0
4.49842;2.17577e-05;0
4.65842;-2.17578e-05;0
4.81842;2.17577e-05;0
4.97842;-2.17578e-05;0
5.13842;2.17591e-05;0
5.29842;-2.17592e-05;0
5.45842;2.17591e-05;0
5.61842;-2.17592e-05;0
5.77842;2.17591e-05;0
5.93842;-2.17592e-05;0
6.09842;2.17604e-05;0
6.25842;-2.17604e-05;0
6.41842;2.17604e-05;0
6.57842;-2.17604e-05;0
6.73842;2.17604e-05;0
6.89842;-2.17604e-05;0
7.05842;2.17616e-05;0
7.21842;-2.17617e-05;0
7.37842;2.17616e-05;0
7.53842;-2.17617e-05;0
7.69842;2.17616e-05;0
7.85842;-2.17617e-05;0
8.01842;0.000109127;0
8.17842;6.59759e-05;0
8.33842;0.000109127;0
8.49842;6.59759e-05;0
8.65842;0.000109127;0
8.81842;6.59759e-05;0
8.97842;0.000109127;0
9.13842;6.59759e-05;0
9.29842;0.000109127;0
9.45842;6.59759e-05;0
9.61842;0.000109127;0
9.77842;6.59759e-05;0
9.93842;0.000109127;0
10.0984;6.59759e-05;0
10.2584;0.000109127;0
10.4184;6.59759e-05;0
10.5784;0.000109127;0
10.7384;6.59759e-05;0
10.8984;0.000109127;0
11.0584;6.59759e-05;0
11.2184;0.000109127;0
11.3784;6.59759e-05;0
11.5384;0.000109127;0
11.6984;6.59759e-05;0
11.8584;0.000109127;0
12.0184;-2.17669e-05;0
12.1784;2.17668e-05;0
12.3384;-2.17669e-05;0
12.4984;2.17668e-05;0
12.6584;-2.17669e-05;0
12.8184;2.17668e-05;0
12.9784;-2.17669e-05;0
13.1384;2.17676e-05;0
13.2984;-2.17677e-05;0
13.4584;2.17676e-05;0
13.6184;-2.17677e-05;0
13.7784;2.17676e-05;0
13.9384;-2.17677e-05;0
14.0984;2.17685e-05;0
14.2584;-2.17686e-05;0
14.4184;2.17685e-05;0
14.5784;-2.17686e-05;0
14.7384;2.17685e-05;0
14.8984;-2.17686e-05;0
15.0584;2.17693e-05;0
15.2184;-2.17694e-05;0
15.3784;2.17693e-05;0
15.5384;-2.17694e-05;0
15.6984;2.17693e-05;0
15.8584;-2.17694e-05;0
16;2.17693e-05;0
