"time";"r ngspice/tran.i(vi1)";"i ngspice/tran.i(vi1)"
0;2.18879e-05;0
1e-11;2.19513e-05;0
2e-11;2.19931e-05;0
4e-11;2.20452e-05;0
8e-11;2.20567e-05;0
1.6e-10;2.20244e-05;0
2.83795e-10;2.19792e-05;0
4.52159e-10;2.16495e-05;0
6.21144e-10;2.03087e-05;0
6.37173e-10;2.0044e-05;0
6.69231e-10;1.94899e-05;0
7.11123e-10;1.92885e-05;0
7.56686e-10;1.94826e-05;0
8.02153e-10;1.966e-05;0
8.46792e-10;1.98577e-05;0
8.91383e-10;2.01239e-05;0
9.38192e-10;2.0323e-05;0
9.95448e-10;2.04691e-05;0
1.05415e-09;2.04723e-05;0
1.11503e-09;2.05387e-05;0
1.18457e-09;2.06561e-05;0
1.32365e-09;2.08987e-05;0
1.55178e-09;2.11954e-05;0
1.84536e-09;2.14481e-05;0
2.27108e-09;2.16609e-05;0
3.12251e-09;2.18366e-05;0
4.65912e-09;2.1891e-05;0
6.45079e-09;2.18875e-05;0
9.36927e-09;2.18881e-05;0
1.46865e-08;2.18878e-05;0
2.5321e-08;2.1888e-05;0
4.659e-08;2.18879e-05;0
8.91279e-08;2.1888e-05;0
1.74204e-07;2.18879e-05;0
3.44356e-07;2.1888e-05;0
6.84659e-07;2.18879e-05;0
1.36527e-06;2.1888e-05;0
2.72648e-06;2.18879e-05;0
5.44891e-06;2.1888e-05;0
1.08938e-05;2.18879e-05;0
2.17835e-05;2.1888e-05;0
4.35629e-05;2.18879e-05;0
8.71218e-05;2.1888e-05;0
0.00017424;2.18879e-05;0
0.000348475;2.1888e-05;0
0.000696946;2.18879e-05;0
0.00139389;2.1888e-05;0
0.00278777;2.18879e-05;0
0.00557554;2.1888e-05;0
0.0111511;2.18879e-05;0
0.0223021;2.1888e-05;0
0.0446043;2.18879e-05;0
0.0892086;2.1888e-05;0
0.178417;2.18879e-05;0
0.338417;2.1888e-05;0
0.498417;2.18879e-05;0
0.658417;2.1888e-05;0
0.818417;2.18879e-05;0
0.978417;2.1888e-05;0
1.13842;2.18879e-05;0
1.29842;2.1888e-05;0
1.45842;2.18879e-05;0
1.61842;2.1888e-05;0
1.77842;2.18879e-05;0
1.93842;2.1888e-05;0
2.09842;2.18879e-05;0
2.25842;2.1888e-05;0
2.41842;2.18879e-05;0
2.57842;2.1888e-05;0
2.73842;2.18879e-05;0
2.89842;2.1888e-05;0
3.05842;2.18879e-05;0
3.21842;2.1888e-05;0
3.37842;2.18879e-05;0
3.53842;2.1888e-05;0
3.69842;2.18879e-05;0
3.85842;2.1888e-05;0
4.01842;2.18879e-05;0
4.17842;2.1888e-05;0
4.33842;2.18879e-05;0
4.49842;2.1888e-05;0
4.65842;2.18879e-05;0
4.81842;2.1888e-05;0
4.97842;2.18879e-05;0
5.13842;2.1888e-05;0
5.29842;2.18879e-05;0
5.45842;2.1888e-05;0
5.61842;2.18879e-05;0
5.77842;2.1888e-05;0
5.93842;2.18879e-05;0
6.09842;2.1888e-05;0
6.25842;2.18879e-05;0
6.41842;2.1888e-05;0
6.57842;2.18879e-05;0
6.73842;2.1888e-05;0
6.89842;2.18879e-05;0
7.05842;2.1888e-05;0
7.21842;2.18879e-05;0
7.37842;2.1888e-05;0
7.53842;2.18879e-05;0
7.69842;2.1888e-05;0
7.85842;2.18879e-05;0
8.01842;2.1888e-05;0
8.17842;2.18879e-05;0
8.33842;2.1888e-05;0
8.49842;2.18879e-05;0
8.65842;2.1888e-05;0
8.81842;2.18879e-05;0
8.97842;2.1888e-05;0
9.13842;2.18879e-05;0
9.29842;2.1888e-05;0
9.45842;2.18879e-05;0
9.61842;2.1888e-05;0
9.77842;2.18879e-05;0
9.93842;2.1888e-05;0
10.0984;2.18879e-05;0
10.2584;2.1888e-05;0
10.4184;2.18879e-05;0
10.5784;2.1888e-05;0
10.7384;2.18879e-05;0
10.8984;2.1888e-05;0
11.0584;2.18879e-05;0
11.2184;2.1888e-05;0
11.3784;2.18879e-05;0
11.5384;2.1888e-05;0
11.6984;2.18879e-05;0
11.8584;2.1888e-05;0
12.0184;2.18879e-05;0
12.1784;2.1888e-05;0
12.3384;2.18879e-05;0
12.4984;2.1888e-05;0
12.6584;2.18879e-05;0
12.8184;2.1888e-05;0
12.9784;2.18879e-05;0
13.1384;2.1888e-05;0
13.2984;2.18879e-05;0
13.4584;2.1888e-05;0
13.6184;2.18879e-05;0
13.7784;2.1888e-05;0
13.9384;2.18879e-05;0
14.0984;2.1888e-05;0
14.2584;2.18879e-05;0
14.4184;2.1888e-05;0
14.5784;2.18879e-05;0
14.7384;2.1888e-05;0
14.8984;2.18879e-05;0
15.0584;2.1888e-05;0
15.2184;2.18879e-05;0
15.3784;2.1888e-05;0
15.5384;2.18879e-05;0
15.6984;2.1888e-05;0
15.8584;2.18879e-05;0
16;2.1888e-05;0
