"time";"r ngspice/tran.i(vi3)";"i ngspice/tran.i(vi3)"
0;1.42467e-12;0
1e-11;-7.10566e-06;0
2e-11;-7.00242e-06;0
4e-11;-6.68088e-06;0
8e-11;-6.35103e-06;0
1.6e-10;-5.70248e-06;0
2.83795e-10;-4.62531e-06;0
4.52159e-10;1.11029e-05;0
6.21144e-10;8.18851e-05;0
6.37173e-10;7.58951e-05;0
6.69231e-10;7.61927e-05;0
7.11123e-10;8.90808e-05;0
7.56686e-10;7.63223e-05;0
8.02153e-10;8.24567e-05;0
8.46792e-10;6.97788e-05;0
8.91383e-10;7.45659e-05;0
9.38192e-10;6.2044e-05;0
9.95448e-10;6.89675e-05;0
1.05415e-09;5.96517e-05;0
1.11503e-09;6.7866e-05;0
1.18457e-09;5.6767e-05;0
1.32365e-09;6.2325e-05;0
1.55178e-09;4.86857e-05;0
1.84536e-09;5.43587e-05;0
2.27108e-09;4.21682e-05;0
3.12251e-09;4.90831e-05;0
4.65912e-09;3.9103e-05;0
6.45079e-09;4.84135e-05;0
9.36927e-09;3.91417e-05;0
1.46865e-08;4.84092e-05;0
2.5321e-08;3.91428e-05;0
4.659e-08;4.84088e-05;0
8.91279e-08;3.91429e-05;0
1.74204e-07;4.84087e-05;0
3.44356e-07;3.9143e-05;0
6.84659e-07;4.84087e-05;0
1.36527e-06;3.9143e-05;0
2.72648e-06;4.84087e-05;0
5.44891e-06;3.9143e-05;0
1.08938e-05;4.84087e-05;0
2.17835e-05;3.9143e-05;0
4.35629e-05;4.84087e-05;0
8.71218e-05;3.9143e-05;0
0.00017424;4.84087e-05;0
0.000348475;3.9143e-05;0
0.000696946;4.84087e-05;0
0.00139389;3.9143e-05;0
0.00278777;4.84087e-05;0
0.00557554;3.9143e-05;0
0.0111511;4.84087e-05;0
0.0223021;3.9143e-05;0
0.0446043;4.84087e-05;0
0.0892086;3.9143e-05;0
0.178417;4.84087e-05;0
0.338417;3.9143e-05;0
0.498417;4.84087e-05;0
0.658417;3.9143e-05;0
0.818417;4.84087e-05;0
0.978417;3.9143e-05;0
1.13842;4.84087e-05;0
1.29842;3.9143e-05;0
1.45842;4.84087e-05;0
1.61842;3.9143e-05;0
1.77842;4.84087e-05;0
1.93842;3.9143e-05;0
2.09842;4.51979e-06;0
2.25842;-4.51956e-06;0
2.41842;4.51948e-06;0
2.57842;-4.51956e-06;0
2.73842;4.51948e-06;0
2.89842;-4.51956e-06;0
3.05842;4.51887e-06;0
3.21842;-4.51895e-06;0
3.37842;4.51887e-06;0
3.53842;-4.51895e-06;0
3.69842;4.51887e-06;0
3.85842;-4.51895e-06;0
4.01842;4.84087e-05;0
4.17842;3.9143e-05;0
4.33842;4.84087e-05;0
4.49842;3.9143e-05;0
4.65842;4.84087e-05;0
4.81842;3.9143e-05;0
4.97842;4.84087e-05;0
5.13842;3.9143e-05;0
5.29842;4.84087e-05;0
5.45842;3.9143e-05;0
5.61842;4.84087e-05;0
5.77842;3.9143e-05;0
5.93842;4.84087e-05;0
6.09842;-4.51736e-06;0
6.25842;4.51727e-06;0
6.41842;-4.51736e-06;0
6.57842;4.51727e-06;0
6.73842;-4.51736e-06;0
6.89842;4.51727e-06;0
7.05842;-4.5169e-06;0
7.21842;4.51681e-06;0
7.37842;-4.5169e-06;0
7.53842;4.51681e-06;0
7.69842;-4.5169e-06;0
7.85842;4.51681e-06;0
8.01842;3.9143e-05;0
8.17842;4.84087e-05;0
8.33842;3.9143e-05;0
8.49842;4.84087e-05;0
8.65842;3.9143e-05;0
8.81842;4.84087e-05;0
8.97842;3.9143e-05;0
9.13842;4.84087e-05;0
9.29842;3.9143e-05;0
9.45842;4.84087e-05;0
9.61842;3.9143e-05;0
9.77842;4.84087e-05;0
9.93842;3.9143e-05;0
10.0984;4.51557e-06;0
10.2584;-4.51566e-06;0
10.4184;4.51557e-06;0
10.5784;-4.51566e-06;0
10.7384;4.51557e-06;0
10.8984;-4.51566e-06;0
11.0584;4.5152e-06;0
11.2184;-4.51529e-06;0
11.3784;4.5152e-06;0
11.5384;-4.51529e-06;0
11.6984;4.5152e-06;0
11.8584;-4.51529e-06;0
12.0184;4.84087e-05;0
12.1784;3.9143e-05;0
12.3384;4.84087e-05;0
12.4984;3.9143e-05;0
12.6584;4.84087e-05;0
12.8184;3.9143e-05;0
12.9784;4.84087e-05;0
13.1384;3.9143e-05;0
13.2984;4.84087e-05;0
13.4584;3.9143e-05;0
13.6184;4.84087e-05;0
13.7784;3.9143e-05;0
13.9384;4.84087e-05;0
14.0984;-4.5143e-06;0
14.2584;4.51421e-06;0
14.4184;-4.5143e-06;0
14.5784;4.51421e-06;0
14.7384;-4.5143e-06;0
14.8984;4.51421e-06;0
15.0584;-4.51401e-06;0
15.2184;4.51391e-06;0
15.3784;-4.51401e-06;0
15.5384;4.51391e-06;0
15.6984;-4.51401e-06;0
15.8584;4.51391e-06;0
16;-4.51401e-06;0
